tanaman,gejala,manfaat,efek_samping,referensi
Ciplukan (Physalis angulata),"radikal bebas, peradangan, stres oksidatif","antihipertensi, antidiabetes","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Salim, Z., & Munadi, E. (2017). Tanaman Obat. Badan Pengkajian dan Pengembangan Perdagangan Kementerian Perdagangan Republik Indonesia.; Puspitasari, I., Sari, G. N. F., & Indrayati, A. (2021). Pemanfaatan tanaman obat keluarga (TOGA) sebagai alternatif pengobatan mandiri. Jurnal Warta LPM, 24(3), 456-465."
Sirih Cina (Peperomia pellucida),"nyeri sendi, infeksi bakteri, nyeri otot","analgesik, antioksidan, antimikroba","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Putra, I. G. N. T. M., & Astuti, N. M. W. (2023). Studi kandungan fitokimia, aktivitas antioksidan, dan toksisitas ciplukan (Physalis angulata L.). COMSERVA: Jurnal Penelitian dan Pengabdian Masyarakat, 3(06), 2168-2179.; HL, R., & Kekuda, T. P. (2018). Ethnobotanical uses, phytochemistry and pharmacological activities of Peperomia pellucida (L.) Kunth. Int. J. Pharm. Pharm. Sci, 10(2), 1-6.; Kartika, I. G. A. A., et al. (2016). Traditional uses, phytochemical and pharmacological review of Peperomia pellucida. Pharmacologyonline, 2, 30-43."
Ciplukan (Physalis angulata),"nyeri sendi, diabetes, hipertensi","antiinflamasi, antioksidan","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Puspitasari, I., Sari, G. N. F., & Indrayati, A. (2021). Pemanfaatan tanaman obat keluarga (TOGA) sebagai alternatif pengobatan mandiri. Jurnal Warta LPM, 24(3), 456-465.; Fadhli, H., et al. (2023). Ciplukan (Physalis angulata L.): Review tanaman liar yang berpotensi sebagai tanaman obat. JFI Online, 15(2), 134-141.; Kartika, I. G. A. A., et al. (2016). Traditional uses, phytochemical and pharmacological review of Peperomia pellucida. Pharmacologyonline, 2, 30-43."
Sirih Cina (Peperomia pellucida),"infeksi bakteri, radikal bebas, peradangan, nyeri sendi","antimikroba, analgesik","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","HL, R., & Kekuda, T. P. (2018). Ethnobotanical uses, phytochemistry and pharmacological activities of Peperomia pellucida (L.) Kunth. Int. J. Pharm. Pharm. Sci, 10(2), 1-6.; Salim, Z., & Munadi, E. (2017). Tanaman Obat. Badan Pengkajian dan Pengembangan Perdagangan Kementerian Perdagangan Republik Indonesia."
Ciplukan (Physalis angulata),"hipertensi, nyeri sendi","antihipertensi, antioksidan","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","HL, R., & Kekuda, T. P. (2018). Ethnobotanical uses, phytochemistry and pharmacological activities of Peperomia pellucida (L.) Kunth. Int. J. Pharm. Pharm. Sci, 10(2), 1-6.; Putra, I. G. N. T. M., & Astuti, N. M. W. (2023). Studi kandungan fitokimia, aktivitas antioksidan, dan toksisitas ciplukan (Physalis angulata L.). COMSERVA: Jurnal Penelitian dan Pengabdian Masyarakat, 3(06), 2168-2179.; Devitria, R. (2020). Uji Aktivitas Antioksidan Ekstrak Metanol Daun Ciplukan menggunakan Metode DPPH. Jurnal Penelitian Farmasi Indonesia, 9(1), 31-36."
Sirih Cina (Peperomia pellucida),"infeksi bakteri, nyeri otot","analgesik, antimikroba, antioksidan","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Salim, Z., & Munadi, E. (2017). Tanaman Obat. Badan Pengkajian dan Pengembangan Perdagangan Kementerian Perdagangan Republik Indonesia.; HL, R., & Kekuda, T. P. (2018). Ethnobotanical uses, phytochemistry and pharmacological activities of Peperomia pellucida (L.) Kunth. Int. J. Pharm. Pharm. Sci, 10(2), 1-6.; Fadhli, H., et al. (2023). Ciplukan (Physalis angulata L.): Review tanaman liar yang berpotensi sebagai tanaman obat. JFI Online, 15(2), 134-141."
Ciplukan (Physalis angulata),"diabetes, nyeri sendi, peradangan","antidiabetes, antiinflamasi","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Salim, Z., & Munadi, E. (2017). Tanaman Obat. Badan Pengkajian dan Pengembangan Perdagangan Kementerian Perdagangan Republik Indonesia.; Fadhli, H., et al. (2023). Ciplukan (Physalis angulata L.): Review tanaman liar yang berpotensi sebagai tanaman obat. JFI Online, 15(2), 134-141.; Putra, I. G. N. T. M., & Astuti, N. M. W. (2023). Studi kandungan fitokimia, aktivitas antioksidan, dan toksisitas ciplukan (Physalis angulata L.). COMSERVA: Jurnal Penelitian dan Pengabdian Masyarakat, 3(06), 2168-2179."
Sirih Cina (Peperomia pellucida),"radikal bebas, infeksi bakteri, peradangan, nyeri sendi","analgesik, antioksidan","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Kartika, I. G. A. A., et al. (2016). Traditional uses, phytochemical and pharmacological review of Peperomia pellucida. Pharmacologyonline, 2, 30-43.; Fadhli, H., et al. (2023). Ciplukan (Physalis angulata L.): Review tanaman liar yang berpotensi sebagai tanaman obat. JFI Online, 15(2), 134-141.; Laia, I. S. (2022). Pemanfataan Ciplukan (Physalis Angulata) Sebagai Tanaman Obat Hipertensi Di Desa Mohilikecamatan Amandraya Kabupaten Nias Selatan. FAGURU: Jurnal Ilmiah Mahasiswa Keguruan, 1(2), 119-127."
Ciplukan (Physalis angulata),"radikal bebas, nyeri sendi, peradangan","antihipertensi, antiinflamasi","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Fadhli, H., et al. (2023). Ciplukan (Physalis angulata L.): Review tanaman liar yang berpotensi sebagai tanaman obat. JFI Online, 15(2), 134-141.; HL, R., & Kekuda, T. P. (2018). Ethnobotanical uses, phytochemistry and pharmacological activities of Peperomia pellucida (L.) Kunth. Int. J. Pharm. Pharm. Sci, 10(2), 1-6.; Puspitasari, I., Sari, G. N. F., & Indrayati, A. (2021). Pemanfaatan tanaman obat keluarga (TOGA) sebagai alternatif pengobatan mandiri. Jurnal Warta LPM, 24(3), 456-465."
Sirih Cina (Peperomia pellucida),"infeksi bakteri, nyeri otot","analgesik, antioksidan, antimikroba","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Devitria, R. (2020). Uji Aktivitas Antioksidan Ekstrak Metanol Daun Ciplukan menggunakan Metode DPPH. Jurnal Penelitian Farmasi Indonesia, 9(1), 31-36.; Laia, I. S. (2022). Pemanfataan Ciplukan (Physalis Angulata) Sebagai Tanaman Obat Hipertensi Di Desa Mohilikecamatan Amandraya Kabupaten Nias Selatan. FAGURU: Jurnal Ilmiah Mahasiswa Keguruan, 1(2), 119-127."
Ciplukan (Physalis angulata),"peradangan, radikal bebas, gangguan imun","antidiabetes, antiinflamasi","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Fadhli, H., et al. (2023). Ciplukan (Physalis angulata L.): Review tanaman liar yang berpotensi sebagai tanaman obat. JFI Online, 15(2), 134-141.; Puspitasari, I., Sari, G. N. F., & Indrayati, A. (2021). Pemanfaatan tanaman obat keluarga (TOGA) sebagai alternatif pengobatan mandiri. Jurnal Warta LPM, 24(3), 456-465."
Sirih Cina (Peperomia pellucida),"nyeri otot, nyeri sendi, radikal bebas, infeksi bakteri","analgesik, antimikroba","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","HL, R., & Kekuda, T. P. (2018). Ethnobotanical uses, phytochemistry and pharmacological activities of Peperomia pellucida (L.) Kunth. Int. J. Pharm. Pharm. Sci, 10(2), 1-6.; Fadhli, H., et al. (2023). Ciplukan (Physalis angulata L.): Review tanaman liar yang berpotensi sebagai tanaman obat. JFI Online, 15(2), 134-141.; Laia, I. S. (2022). Pemanfataan Ciplukan (Physalis Angulata) Sebagai Tanaman Obat Hipertensi Di Desa Mohilikecamatan Amandraya Kabupaten Nias Selatan. FAGURU: Jurnal Ilmiah Mahasiswa Keguruan, 1(2), 119-127."
Ciplukan (Physalis angulata),"nyeri sendi, hipertensi, diabetes, peradangan","antihipertensi, antiinflamasi","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Puspitasari, I., Sari, G. N. F., & Indrayati, A. (2021). Pemanfaatan tanaman obat keluarga (TOGA) sebagai alternatif pengobatan mandiri. Jurnal Warta LPM, 24(3), 456-465.; Kartika, I. G. A. A., et al. (2016). Traditional uses, phytochemical and pharmacological review of Peperomia pellucida. Pharmacologyonline, 2, 30-43."
Sirih Cina (Peperomia pellucida),"nyeri sendi, radikal bebas","antioksidan, antiinflamasi","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Salim, Z., & Munadi, E. (2017). Tanaman Obat. Badan Pengkajian dan Pengembangan Perdagangan Kementerian Perdagangan Republik Indonesia.; Fadhli, H., et al. (2023). Ciplukan (Physalis angulata L.): Review tanaman liar yang berpotensi sebagai tanaman obat. JFI Online, 15(2), 134-141."
Ciplukan (Physalis angulata),"radikal bebas, diabetes","antioksidan, imunomodulator","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Salim, Z., & Munadi, E. (2017). Tanaman Obat. Badan Pengkajian dan Pengembangan Perdagangan Kementerian Perdagangan Republik Indonesia.; HL, R., & Kekuda, T. P. (2018). Ethnobotanical uses, phytochemistry and pharmacological activities of Peperomia pellucida (L.) Kunth. Int. J. Pharm. Pharm. Sci, 10(2), 1-6.; Kartika, I. G. A. A., et al. (2016). Traditional uses, phytochemical and pharmacological review of Peperomia pellucida. Pharmacologyonline, 2, 30-43."
Sirih Cina (Peperomia pellucida),"nyeri sendi, infeksi bakteri","antimikroba, analgesik, antioksidan","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Devitria, R. (2020). Uji Aktivitas Antioksidan Ekstrak Metanol Daun Ciplukan menggunakan Metode DPPH. Jurnal Penelitian Farmasi Indonesia, 9(1), 31-36.; Putra, I. G. N. T. M., & Astuti, N. M. W. (2023). Studi kandungan fitokimia, aktivitas antioksidan, dan toksisitas ciplukan (Physalis angulata L.). COMSERVA: Jurnal Penelitian dan Pengabdian Masyarakat, 3(06), 2168-2179.; HL, R., & Kekuda, T. P. (2018). Ethnobotanical uses, phytochemistry and pharmacological activities of Peperomia pellucida (L.) Kunth. Int. J. Pharm. Pharm. Sci, 10(2), 1-6."
Ciplukan (Physalis angulata),"stres oksidatif, hipertensi, peradangan","antihipertensi, antioksidan","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Putra, I. G. N. T. M., & Astuti, N. M. W. (2023). Studi kandungan fitokimia, aktivitas antioksidan, dan toksisitas ciplukan (Physalis angulata L.). COMSERVA: Jurnal Penelitian dan Pengabdian Masyarakat, 3(06), 2168-2179.; Salim, Z., & Munadi, E. (2017). Tanaman Obat. Badan Pengkajian dan Pengembangan Perdagangan Kementerian Perdagangan Republik Indonesia.; Laia, I. S. (2022). Pemanfataan Ciplukan (Physalis Angulata) Sebagai Tanaman Obat Hipertensi Di Desa Mohilikecamatan Amandraya Kabupaten Nias Selatan. FAGURU: Jurnal Ilmiah Mahasiswa Keguruan, 1(2), 119-127."
Sirih Cina (Peperomia pellucida),"nyeri otot, nyeri sendi","analgesik, antiinflamasi","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Putra, I. G. N. T. M., & Astuti, N. M. W. (2023). Studi kandungan fitokimia, aktivitas antioksidan, dan toksisitas ciplukan (Physalis angulata L.). COMSERVA: Jurnal Penelitian dan Pengabdian Masyarakat, 3(06), 2168-2179.; Kartika, I. G. A. A., et al. (2016). Traditional uses, phytochemical and pharmacological review of Peperomia pellucida. Pharmacologyonline, 2, 30-43."
Ciplukan (Physalis angulata),"stres oksidatif, diabetes","antioksidan, antihipertensi","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","HL, R., & Kekuda, T. P. (2018). Ethnobotanical uses, phytochemistry and pharmacological activities of Peperomia pellucida (L.) Kunth. Int. J. Pharm. Pharm. Sci, 10(2), 1-6.; Devitria, R. (2020). Uji Aktivitas Antioksidan Ekstrak Metanol Daun Ciplukan menggunakan Metode DPPH. Jurnal Penelitian Farmasi Indonesia, 9(1), 31-36.; Kartika, I. G. A. A., et al. (2016). Traditional uses, phytochemical and pharmacological review of Peperomia pellucida. Pharmacologyonline, 2, 30-43."
Sirih Cina (Peperomia pellucida),"peradangan, radikal bebas","analgesik, antimikroba","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Laia, I. S. (2022). Pemanfataan Ciplukan (Physalis Angulata) Sebagai Tanaman Obat Hipertensi Di Desa Mohilikecamatan Amandraya Kabupaten Nias Selatan. FAGURU: Jurnal Ilmiah Mahasiswa Keguruan, 1(2), 119-127.; HL, R., & Kekuda, T. P. (2018). Ethnobotanical uses, phytochemistry and pharmacological activities of Peperomia pellucida (L.) Kunth. Int. J. Pharm. Pharm. Sci, 10(2), 1-6.; Putra, I. G. N. T. M., & Astuti, N. M. W. (2023). Studi kandungan fitokimia, aktivitas antioksidan, dan toksisitas ciplukan (Physalis angulata L.). COMSERVA: Jurnal Penelitian dan Pengabdian Masyarakat, 3(06), 2168-2179."
Ciplukan (Physalis angulata),"nyeri sendi, peradangan, hipertensi","antidiabetes, imunomodulator, antiinflamasi","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Putra, I. G. N. T. M., & Astuti, N. M. W. (2023). Studi kandungan fitokimia, aktivitas antioksidan, dan toksisitas ciplukan (Physalis angulata L.). COMSERVA: Jurnal Penelitian dan Pengabdian Masyarakat, 3(06), 2168-2179.; Devitria, R. (2020). Uji Aktivitas Antioksidan Ekstrak Metanol Daun Ciplukan menggunakan Metode DPPH. Jurnal Penelitian Farmasi Indonesia, 9(1), 31-36."
Sirih Cina (Peperomia pellucida),"infeksi bakteri, peradangan, radikal bebas, nyeri otot","antimikroba, antiinflamasi","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","HL, R., & Kekuda, T. P. (2018). Ethnobotanical uses, phytochemistry and pharmacological activities of Peperomia pellucida (L.) Kunth. Int. J. Pharm. Pharm. Sci, 10(2), 1-6.; Putra, I. G. N. T. M., & Astuti, N. M. W. (2023). Studi kandungan fitokimia, aktivitas antioksidan, dan toksisitas ciplukan (Physalis angulata L.). COMSERVA: Jurnal Penelitian dan Pengabdian Masyarakat, 3(06), 2168-2179."
Ciplukan (Physalis angulata),"peradangan, nyeri sendi, gangguan imun, radikal bebas","antidiabetes, imunomodulator, antihipertensi","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Devitria, R. (2020). Uji Aktivitas Antioksidan Ekstrak Metanol Daun Ciplukan menggunakan Metode DPPH. Jurnal Penelitian Farmasi Indonesia, 9(1), 31-36.; HL, R., & Kekuda, T. P. (2018). Ethnobotanical uses, phytochemistry and pharmacological activities of Peperomia pellucida (L.) Kunth. Int. J. Pharm. Pharm. Sci, 10(2), 1-6."
Sirih Cina (Peperomia pellucida),"infeksi bakteri, peradangan","analgesik, antiinflamasi","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Fadhli, H., et al. (2023). Ciplukan (Physalis angulata L.): Review tanaman liar yang berpotensi sebagai tanaman obat. JFI Online, 15(2), 134-141.; HL, R., & Kekuda, T. P. (2018). Ethnobotanical uses, phytochemistry and pharmacological activities of Peperomia pellucida (L.) Kunth. Int. J. Pharm. Pharm. Sci, 10(2), 1-6."
Ciplukan (Physalis angulata),"peradangan, radikal bebas","antiinflamasi, antidiabetes, antihipertensi","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Putra, I. G. N. T. M., & Astuti, N. M. W. (2023). Studi kandungan fitokimia, aktivitas antioksidan, dan toksisitas ciplukan (Physalis angulata L.). COMSERVA: Jurnal Penelitian dan Pengabdian Masyarakat, 3(06), 2168-2179.; HL, R., & Kekuda, T. P. (2018). Ethnobotanical uses, phytochemistry and pharmacological activities of Peperomia pellucida (L.) Kunth. Int. J. Pharm. Pharm. Sci, 10(2), 1-6.; Kartika, I. G. A. A., et al. (2016). Traditional uses, phytochemical and pharmacological review of Peperomia pellucida. Pharmacologyonline, 2, 30-43."
Sirih Cina (Peperomia pellucida),"radikal bebas, nyeri sendi, peradangan, infeksi bakteri","antiinflamasi, analgesik","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Laia, I. S. (2022). Pemanfataan Ciplukan (Physalis Angulata) Sebagai Tanaman Obat Hipertensi Di Desa Mohilikecamatan Amandraya Kabupaten Nias Selatan. FAGURU: Jurnal Ilmiah Mahasiswa Keguruan, 1(2), 119-127.; HL, R., & Kekuda, T. P. (2018). Ethnobotanical uses, phytochemistry and pharmacological activities of Peperomia pellucida (L.) Kunth. Int. J. Pharm. Pharm. Sci, 10(2), 1-6."
Ciplukan (Physalis angulata),"nyeri sendi, gangguan imun","imunomodulator, antihipertensi","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Fadhli, H., et al. (2023). Ciplukan (Physalis angulata L.): Review tanaman liar yang berpotensi sebagai tanaman obat. JFI Online, 15(2), 134-141.; Salim, Z., & Munadi, E. (2017). Tanaman Obat. Badan Pengkajian dan Pengembangan Perdagangan Kementerian Perdagangan Republik Indonesia.; Laia, I. S. (2022). Pemanfataan Ciplukan (Physalis Angulata) Sebagai Tanaman Obat Hipertensi Di Desa Mohilikecamatan Amandraya Kabupaten Nias Selatan. FAGURU: Jurnal Ilmiah Mahasiswa Keguruan, 1(2), 119-127."
Sirih Cina (Peperomia pellucida),"radikal bebas, nyeri sendi, peradangan, nyeri otot","antiinflamasi, antimikroba, antioksidan","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Laia, I. S. (2022). Pemanfataan Ciplukan (Physalis Angulata) Sebagai Tanaman Obat Hipertensi Di Desa Mohilikecamatan Amandraya Kabupaten Nias Selatan. FAGURU: Jurnal Ilmiah Mahasiswa Keguruan, 1(2), 119-127.; Kartika, I. G. A. A., et al. (2016). Traditional uses, phytochemical and pharmacological review of Peperomia pellucida. Pharmacologyonline, 2, 30-43."
Ciplukan (Physalis angulata),"diabetes, stres oksidatif, hipertensi","antidiabetes, antiinflamasi","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Putra, I. G. N. T. M., & Astuti, N. M. W. (2023). Studi kandungan fitokimia, aktivitas antioksidan, dan toksisitas ciplukan (Physalis angulata L.). COMSERVA: Jurnal Penelitian dan Pengabdian Masyarakat, 3(06), 2168-2179.; Fadhli, H., et al. (2023). Ciplukan (Physalis angulata L.): Review tanaman liar yang berpotensi sebagai tanaman obat. JFI Online, 15(2), 134-141."
Sirih Cina (Peperomia pellucida),"infeksi bakteri, nyeri sendi, radikal bebas","antioksidan, antiinflamasi, antimikroba","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Puspitasari, I., Sari, G. N. F., & Indrayati, A. (2021). Pemanfaatan tanaman obat keluarga (TOGA) sebagai alternatif pengobatan mandiri. Jurnal Warta LPM, 24(3), 456-465.; HL, R., & Kekuda, T. P. (2018). Ethnobotanical uses, phytochemistry and pharmacological activities of Peperomia pellucida (L.) Kunth. Int. J. Pharm. Pharm. Sci, 10(2), 1-6.; Kartika, I. G. A. A., et al. (2016). Traditional uses, phytochemical and pharmacological review of Peperomia pellucida. Pharmacologyonline, 2, 30-43."
Ciplukan (Physalis angulata),"peradangan, nyeri sendi, diabetes, radikal bebas","antiinflamasi, antihipertensi","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Putra, I. G. N. T. M., & Astuti, N. M. W. (2023). Studi kandungan fitokimia, aktivitas antioksidan, dan toksisitas ciplukan (Physalis angulata L.). COMSERVA: Jurnal Penelitian dan Pengabdian Masyarakat, 3(06), 2168-2179.; Fadhli, H., et al. (2023). Ciplukan (Physalis angulata L.): Review tanaman liar yang berpotensi sebagai tanaman obat. JFI Online, 15(2), 134-141."
Sirih Cina (Peperomia pellucida),"nyeri sendi, infeksi bakteri, nyeri otot","analgesik, antimikroba","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","HL, R., & Kekuda, T. P. (2018). Ethnobotanical uses, phytochemistry and pharmacological activities of Peperomia pellucida (L.) Kunth. Int. J. Pharm. Pharm. Sci, 10(2), 1-6.; Devitria, R. (2020). Uji Aktivitas Antioksidan Ekstrak Metanol Daun Ciplukan menggunakan Metode DPPH. Jurnal Penelitian Farmasi Indonesia, 9(1), 31-36.; Salim, Z., & Munadi, E. (2017). Tanaman Obat. Badan Pengkajian dan Pengembangan Perdagangan Kementerian Perdagangan Republik Indonesia."
Ciplukan (Physalis angulata),"nyeri sendi, radikal bebas, hipertensi, gangguan imun","antihipertensi, antioksidan, antiinflamasi","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Salim, Z., & Munadi, E. (2017). Tanaman Obat. Badan Pengkajian dan Pengembangan Perdagangan Kementerian Perdagangan Republik Indonesia.; Fadhli, H., et al. (2023). Ciplukan (Physalis angulata L.): Review tanaman liar yang berpotensi sebagai tanaman obat. JFI Online, 15(2), 134-141.; Putra, I. G. N. T. M., & Astuti, N. M. W. (2023). Studi kandungan fitokimia, aktivitas antioksidan, dan toksisitas ciplukan (Physalis angulata L.). COMSERVA: Jurnal Penelitian dan Pengabdian Masyarakat, 3(06), 2168-2179."
Sirih Cina (Peperomia pellucida),"radikal bebas, peradangan, nyeri otot","antioksidan, analgesik","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Devitria, R. (2020). Uji Aktivitas Antioksidan Ekstrak Metanol Daun Ciplukan menggunakan Metode DPPH. Jurnal Penelitian Farmasi Indonesia, 9(1), 31-36.; Putra, I. G. N. T. M., & Astuti, N. M. W. (2023). Studi kandungan fitokimia, aktivitas antioksidan, dan toksisitas ciplukan (Physalis angulata L.). COMSERVA: Jurnal Penelitian dan Pengabdian Masyarakat, 3(06), 2168-2179."
Ciplukan (Physalis angulata),"radikal bebas, peradangan, hipertensi","antiinflamasi, imunomodulator, antihipertensi","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Puspitasari, I., Sari, G. N. F., & Indrayati, A. (2021). Pemanfaatan tanaman obat keluarga (TOGA) sebagai alternatif pengobatan mandiri. Jurnal Warta LPM, 24(3), 456-465.; Kartika, I. G. A. A., et al. (2016). Traditional uses, phytochemical and pharmacological review of Peperomia pellucida. Pharmacologyonline, 2, 30-43."
Sirih Cina (Peperomia pellucida),"infeksi bakteri, nyeri otot","antimikroba, antioksidan, analgesik","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Puspitasari, I., Sari, G. N. F., & Indrayati, A. (2021). Pemanfaatan tanaman obat keluarga (TOGA) sebagai alternatif pengobatan mandiri. Jurnal Warta LPM, 24(3), 456-465.; Kartika, I. G. A. A., et al. (2016). Traditional uses, phytochemical and pharmacological review of Peperomia pellucida. Pharmacologyonline, 2, 30-43.; Laia, I. S. (2022). Pemanfataan Ciplukan (Physalis Angulata) Sebagai Tanaman Obat Hipertensi Di Desa Mohilikecamatan Amandraya Kabupaten Nias Selatan. FAGURU: Jurnal Ilmiah Mahasiswa Keguruan, 1(2), 119-127."
Ciplukan (Physalis angulata),"hipertensi, radikal bebas, diabetes, gangguan imun","antioksidan, imunomodulator","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Putra, I. G. N. T. M., & Astuti, N. M. W. (2023). Studi kandungan fitokimia, aktivitas antioksidan, dan toksisitas ciplukan (Physalis angulata L.). COMSERVA: Jurnal Penelitian dan Pengabdian Masyarakat, 3(06), 2168-2179.; Devitria, R. (2020). Uji Aktivitas Antioksidan Ekstrak Metanol Daun Ciplukan menggunakan Metode DPPH. Jurnal Penelitian Farmasi Indonesia, 9(1), 31-36."
Sirih Cina (Peperomia pellucida),"radikal bebas, peradangan, nyeri otot","antimikroba, analgesik","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","HL, R., & Kekuda, T. P. (2018). Ethnobotanical uses, phytochemistry and pharmacological activities of Peperomia pellucida (L.) Kunth. Int. J. Pharm. Pharm. Sci, 10(2), 1-6.; Devitria, R. (2020). Uji Aktivitas Antioksidan Ekstrak Metanol Daun Ciplukan menggunakan Metode DPPH. Jurnal Penelitian Farmasi Indonesia, 9(1), 31-36."
Ciplukan (Physalis angulata),"nyeri sendi, hipertensi, radikal bebas, peradangan","antidiabetes, imunomodulator, antiinflamasi","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Fadhli, H., et al. (2023). Ciplukan (Physalis angulata L.): Review tanaman liar yang berpotensi sebagai tanaman obat. JFI Online, 15(2), 134-141.; Puspitasari, I., Sari, G. N. F., & Indrayati, A. (2021). Pemanfaatan tanaman obat keluarga (TOGA) sebagai alternatif pengobatan mandiri. Jurnal Warta LPM, 24(3), 456-465.; Laia, I. S. (2022). Pemanfataan Ciplukan (Physalis Angulata) Sebagai Tanaman Obat Hipertensi Di Desa Mohilikecamatan Amandraya Kabupaten Nias Selatan. FAGURU: Jurnal Ilmiah Mahasiswa Keguruan, 1(2), 119-127."
Sirih Cina (Peperomia pellucida),"peradangan, infeksi bakteri, nyeri sendi, nyeri otot","antimikroba, antiinflamasi","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Puspitasari, I., Sari, G. N. F., & Indrayati, A. (2021). Pemanfaatan tanaman obat keluarga (TOGA) sebagai alternatif pengobatan mandiri. Jurnal Warta LPM, 24(3), 456-465.; Laia, I. S. (2022). Pemanfataan Ciplukan (Physalis Angulata) Sebagai Tanaman Obat Hipertensi Di Desa Mohilikecamatan Amandraya Kabupaten Nias Selatan. FAGURU: Jurnal Ilmiah Mahasiswa Keguruan, 1(2), 119-127.; Putra, I. G. N. T. M., & Astuti, N. M. W. (2023). Studi kandungan fitokimia, aktivitas antioksidan, dan toksisitas ciplukan (Physalis angulata L.). COMSERVA: Jurnal Penelitian dan Pengabdian Masyarakat, 3(06), 2168-2179."
